
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------

10/11/2021 12:44:38 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:44:38 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:55:09 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:09 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:55:09 SENDER-2    ||  WAITING
10/11/2021 12:55:10 SENDER-1    ||  WAITING
10/11/2021 12:55:10 SENDER-2    ||  PACKET 13 SENT TO CHANNEL
10/11/2021 12:55:10 SENDER-1    ||  COLLISION OCCURED
10/11/2021 12:55:10 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:55:10 SENDER-1    ||  FOUND CHANNEL BUSY

10/11/2021 12:55:11 RECEIVER-2  ||  PACKET RECEIVED



********************** 10/11/2021 12:55:11 SENDER-2 HAS SENT ALL ITS PACKETS **********************

10/11/2021 12:55:11 SENDER-1    ||  PACKET 13 SENT TO CHANNEL

10/11/2021 12:55:12 RECEIVER-1  ||  PACKET RECEIVED



********************** 10/11/2021 12:55:12 SENDER-1 HAS SENT ALL ITS PACKETS **********************


-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


10/11/2021 12:57:40 CHANNEL has been initialised

10/11/2021 12:57:40 SENDER-2 starts sending data to RECEIVER2
10/11/2021 12:57:40 SENDER-1 starts sending data to RECEIVER1
10/11/2021 12:57:40 SENDER-3 starts sending data to RECEIVER3
10/11/2021 12:57:40 SENDER-2    ||  PACKET 1 SENT TO CHANNEL
10/11/2021 12:57:40 SENDER-1    ||  PACKET 1 SENT TO CHANNEL
10/11/2021 12:57:40 SENDER-3    ||  PACKET 1 SENT TO CHANNEL
10/11/2021 12:57:40 SENDER-4 starts sending data to RECEIVER4
10/11/2021 12:57:40 SENDER-4    ||  PACKET 1 SENT TO CHANNEL

10/11/2021 12:57:41 RECEIVER-1  ||  PACKET RECEIVED

10/11/2021 12:57:42 SENDER-3    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:42 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:42 SENDER-4    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:42 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:42 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:42 SENDER-3    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:42 SENDER-4    ||  FOUND CHANNEL BUSY

10/11/2021 12:57:42 RECEIVER-3  ||  PACKET RECEIVED

10/11/2021 12:57:43 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:43 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:43 SENDER-3    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:43 SENDER-4    ||  FOUND CHANNEL BUSY

10/11/2021 12:57:43 RECEIVER-2  ||  PACKET RECEIVED

10/11/2021 12:57:43 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:43 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:43 SENDER-3    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:43 SENDER-4    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:44 SENDER-1    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:44 SENDER-3    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:44 SENDER-2    ||  FOUND CHANNEL BUSY
10/11/2021 12:57:44 SENDER-4    ||  FOUND CHANNEL BUSY

